Index,Artist,title,year,data,Absolute Chords,section,loop type,chords only,Form Type,MBID,source
314,Katy Perry,Hot 'n' cold,2008,$In $Vr*4 $Ch*4  $interlude $Vr*4 $Ch*4 $bridge*4 $Vr $Ch*4,,S,,,C,3ab64b07-4760-3b29-83e1-9f63cd39963f,"Park: MusicID Top 200 (2000-2020), Richards"
314,Katy Perry,Hot 'n' cold,2008,|1 . . 5 ||2- . . 4||,|GM . . DM||Am . . CM||,"$Vr, $Ch, $interlude",,1 5 2- 4,C,3ab64b07-4760-3b29-83e1-9f63cd39963f,"Park: MusicID Top 200 (2000-2020), Richards"
314,Katy Perry,Hot 'n' cold,2008,|R|,|R|,$In,Rest,R,C,3ab64b07-4760-3b29-83e1-9f63cd39963f,"Park: MusicID Top 200 (2000-2020), Richards"
314,Katy Perry,Hot 'n' cold,2008,|6- . .4 ||1 . . 5||,|Em . . CM||GM . . DM||,$bridge ,Axis-A,6- 4 1 5,C,3ab64b07-4760-3b29-83e1-9f63cd39963f,"Park: MusicID Top 200 (2000-2020), Richards"
263,Katy Perry,E.T.,2010,$Vr*4  $Vr*4 $PCh $Ch*4 $bridge $Ch*4 $PostCh,,S,,,D,48b78802-5dce-4b68-a6db-51c04d2d8a8e,Peres
263,Katy Perry,E.T.,2010,|R||||,|R||||,$In,Rest,R,D,48b78802-5dce-4b68-a6db-51c04d2d8a8e,Peres
263,Katy Perry,E.T.,2010,|6-||||,|Fm||||,$Vr,Six,6-,D,48b78802-5dce-4b68-a6db-51c04d2d8a8e,Peres
263,Katy Perry,E.T.,2010,|4|5|2-||4|5|4|. . . 3|,|DbM | EbM|Bbm||DbM |EbM|DbM|. . . CM|,$PCh,,4 5 2- 4 5 4 3,D,48b78802-5dce-4b68-a6db-51c04d2d8a8e,Peres
263,Katy Perry,E.T.,2010,|4 |5 | 6- | 1|,|DbM|EbM|Fm|AbM|,"$Ch, $PostCh",Plateau: ascending passing loop,4 5 6- 1,D,48b78802-5dce-4b68-a6db-51c04d2d8a8e,Peres
263,Katy Perry,E.T.,2010,|2- |4 |6-| 5|,|Bbm|Dbm|Fm|EbM|,$bridge,Get Lucky,2- 4 6- 5,D,48b78802-5dce-4b68-a6db-51c04d2d8a8e,Peres
160,Daft Punk,Get Lucky,2013,$In $Vr $PCh $Ch $PostCh $Instr $Vr $PCh $Ch $PostCh $Ch $PostCh $Ch $PostCh $Br $PCh $Ch $PostCh_long $Outro,,S,,,A,b11bf816-1844-47e5-9075-9239b7609c6a,"Peres, Spicer, Jinny Park: daft punk corpus"
160,Daft Punk,Get Lucky,2013,|2- |4 |6-| 5|,|Bm |DM |F#m|EM|,$a,Get Lucky,2- 4 6- 5,A,b11bf816-1844-47e5-9075-9239b7609c6a,"Peres, Spicer, Jinny Park: daft punk corpus"
160,Daft Punk,Get Lucky,2013,$a*4,,$In,,,A,b11bf816-1844-47e5-9075-9239b7609c6a,"Peres, Spicer, Jinny Park: daft punk corpus"
160,Daft Punk,Get Lucky,2013,$a*2,,"$Vr, $PCh, $Ch",,,A,b11bf816-1844-47e5-9075-9239b7609c6a,"Peres, Spicer, Jinny Park: daft punk corpus"
160,Daft Punk,Get Lucky,2013,$a,,"$PostCh, $Instr",,,A,b11bf816-1844-47e5-9075-9239b7609c6a,"Peres, Spicer, Jinny Park: daft punk corpus"
160,Daft Punk,Get Lucky,2013,$a*5,,$Br,,,A,b11bf816-1844-47e5-9075-9239b7609c6a,"Peres, Spicer, Jinny Park: daft punk corpus"
160,Daft Punk,Get Lucky,2013,$a*4,,$PostCh_long,,,,,
160,Daft Punk,Get Lucky,2013,$a*6,,$Outro,,,,,
49,Ed Sheeran,Perfect,2017,$In*2 $Vr1*2 $Vr2 $Vr1 $Ch*4 $link $Vr*2 $Ch*4 $instr $Ch*4 $PostCh $outro,,S,,,D,f673b3e1-f46d-44e7-9767-43d7a88aa886,Park: MusicID Top 200 (2000-2020)
49,Ed Sheeran,Perfect,2017,|6- |4| 1| 5|,|Fm|DbM|AbM|EbM|,$Ch,Axis-A,6- 4 1 5,D,f673b3e1-f46d-44e7-9767-43d7a88aa886,Park: MusicID Top 200 (2000-2020)
49,Ed Sheeran,Perfect,2017,|1 |6- |4 |5 1|,AbM |Fm|DbM|AbM EbM|,$Vr2,,1 6- 4 5 1,D,f673b3e1-f46d-44e7-9767-43d7a88aa886,Park: MusicID Top 200 (2000-2020)
49,Ed Sheeran,Perfect,2017,|1 |6- |4 |5|,AbM Fm|DbM EbM|,"$In, $Vr1, $instr",Doo-wop,1 6- 4 5,D,f673b3e1-f46d-44e7-9767-43d7a88aa886,Park: MusicID Top 200 (2000-2020)
49,Ed Sheeran,Perfect,2017,|1 5 |6-  5|4 |5 R|,AbM EbM| Fm AbM|DbM| EbM|,$link,,1 5 6- 5 4 5 R,D,f673b3e1-f46d-44e7-9767-43d7a88aa886,Park: MusicID Top 200 (2000-2020)
49,Ed Sheeran,Perfect,2017,|4||5||,DbM||EbM||,$PostCh,Plateau Shuttle,4 5,D,f673b3e1-f46d-44e7-9767-43d7a88aa886,Park: MusicID Top 200 (2000-2020)
49,Ed Sheeran,Perfect,2017,|1 5 |6-  5|4 |5 | 1||,AbM EbM| Fm AbM|DbM| EbM|,$outro,,1 5 6- 5 4 5 1,D,f673b3e1-f46d-44e7-9767-43d7a88aa886,Park: MusicID Top 200 (2000-2020)
78,Nicky Jam and Enrique Iglesias¬†,El perdón (Forgiveness),2015,$In $Vr*2 $PCh $drop $Ch*2 $Vr*2 $PCh $drop $Ch*2 $Vr $drop $bridge*2 $outro,,S,,,B,40f920e3-b596-48f9-a092-4e5b74ef6a6a,Richards
78,Nicky Jam and Enrique Iglesias¬†,El perdón (Forgiveness),2015,|6- 4 |1 5|,|Fm DbM |AbM EbM|,"$In, $Vr, $PCh, $Ch, $bridge, $outro",Axis-A,6- 4 1 5,B,40f920e3-b596-48f9-a092-4e5b74ef6a6a,Richards
78,Nicky Jam and Enrique Iglesias¬†,El perdón (Forgiveness),2015,|6- 4 |1 R|,|Fm DbM |AbM .|,$drop,,6- 4 1 R,B,40f920e3-b596-48f9-a092-4e5b74ef6a6a,Richards
30,Lady Gaga,Heal Me,2018,$In $Vr*2 $PCh $drop $Ch*2 $Vr*2 $PostCh $drop $Vr $PCh $drop $Ch*4 $PostCh $drop $bridge*2 $Ch*4 $PostCh $drop,,S,,,"B, D",af3ef4ef-b7c7-4bca-ad19-91e3615f18a5,Duinker
30,Lady Gaga,Heal Me,2018,|4 | . 6- 5 3-|,|Fm| .  Am GM Em|,$Ch,Four Six Five Three,4 6- 5 3-,"B, D",af3ef4ef-b7c7-4bca-ad19-91e3615f18a5,Duinker
30,Lady Gaga,Heal Me,2018,|4 | . . . 6-|5 . . 6-|5|,|Fm| . . .  Am |GM . . Am |GM|,"$In, $Vr, $bridge",,4  6- 5 6- 5,"B, D",af3ef4ef-b7c7-4bca-ad19-91e3615f18a5,Duinker
30,Lady Gaga,Heal Me,2018,|4 |6- 5|,|FM|Am GM|,"$PCh, $PostCh",Plateau: open neighboring loop,4 6- 5,"B, D",af3ef4ef-b7c7-4bca-ad19-91e3615f18a5,Duinker
30,Lady Gaga,Heal Me,2018,|4| 6- R|,|FM|Am R|,$drop,,4 6- R,"B, D",af3ef4ef-b7c7-4bca-ad19-91e3615f18a5,Duinker
167,Demi Lovato,Heart Attack,2013,$In $Vr*2 $Vr*2 $PCh $drop $Ch $link $DCh $Vr*2 $Vr*2 $PCh $drop $Ch $link $DCh  $bridge $Ch $PostCh,,S,,,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,|4 |3-|6-||1|R||||,|DbM | Cm|Fm||AbM |R|R|R|,$In,,4 3- 6- 1 R,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,|4|. 1 . . |5|. 6- . .|,|DbM|. AbM . .|EbM|. Fm . .|,"$Vr, $PCh, $Ch_a",Axis-F,4 1 5 6-,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,|4|. 1 .|R||,|DbM|. AbM .|||,$drop,,4 1 R,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,|4 |. 3- . .|6-|. 2- . . |1|R|,|DbM | . Cm . . |Fm|. Bbm . . |Ab |R|,$link,,4 3- 6- 2- 1 R,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,|6- | .  4 . . | 1 | . 5 . . |,|Fm|. DbM . . |AbM| . EbM . . |,$DCh_a,Axis-A,6- 4 1 5,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,|6- | .  4 . . | 1 | 5 |,|Fm| . DbM . . | AbM | EbM|,$DCh_b,Axis-A,6- 4 1 5,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,$DCh_a $DCh_b,,$DCh,,,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,|6- || 4 || 1 || 5 ||,|Fm||DbM||AbM||EbM||Fm||DbM||AbM||CM|||,$bridge_a,Axis-A,6- 4 1 5,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,| 6- || 4 || 1 || 5 |R||,|Fm||DbM||AbM||CM|||,$bridge_b,,6- 4 1 5 R,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,$bridge_a $bridge_b,,$bridge,,,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,|4|. 1 . .|5||,|DbM|. AbM . .|EbM||,$Ch_b,Closed Double Plagal,4 1 5,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,$Ch_a $Ch_b,,$Ch,,,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,|6-||||,|Fm||||,$ending,Six,6-,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato,Heart Attack,2013,$DCh *2 $ending,,$PostCh,,,D,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
150,Ellie Goulding,Burn,2013,$In $Vr*2 $PCh $PCh_turnaround $drop $DCh $Vr*2 $PCh $PCh_turnaround $drop $DCh $PCh $link*3 $PCh $PCh_turnaround $drop $DCh $PCh*2 $outro ,,S,,,D,f55bc729-1cf1-45dc-a7e5-e3a8d69e5092,"Peres, Richards"
150,Ellie Goulding,Burn,2013,|6-|4|3-|5|,|Bbm |GbM|Fm| AbM|,"$a, $outro",,6- 4 3- 5,D,f55bc729-1cf1-45dc-a7e5-e3a8d69e5092,"Peres, Richards"
150,Ellie Goulding,Burn,2013,$a*2,,"$In, $Vr, PCh, $DCh, $link",,,D,f55bc729-1cf1-45dc-a7e5-e3a8d69e5092,"Peres, Richards"
150,Ellie Goulding,Burn,2013,|6-|2-|1|5|,|Bbm |Ebm|DbM |AbM|,$PCh_turnaround,,6- 2- 1 5,D,f55bc729-1cf1-45dc-a7e5-e3a8d69e5092,"Peres, Richards"
150,Ellie Goulding,Burn,2013,|1| 5|6-| R|,|DbM |GbM|BbM |R|,$drop,,1 5 6- R,D,f55bc729-1cf1-45dc-a7e5-e3a8d69e5092,"Peres, Richards"
50,The Weeknd,Secrets,2017,$In $Vr*3 $turn $PCh $turn $Ch*4 $link $Vr $turn $PCh $turn $Ch*4 $link $bridge*4 $Ch*4 $turn,,S,,,D,bd28d3a9-b287-4b9c-9d08-118da13376f3,Duinker
50,The Weeknd,Secrets,2017,|4 ||5||,|FM||GM||,$In $Vr $PCh $Ch,Plateau Shuttle,4 5,D,bd28d3a9-b287-4b9c-9d08-118da13376f3,Duinker
50,The Weeknd,Secrets,2017,|4 ||3-||,|FM||Em||,$bridge,,4 3-,D,bd28d3a9-b287-4b9c-9d08-118da13376f3,Duinker
50,The Weeknd,Secrets,2017,|2|1|7||,|DM |CM|BM||,$link,,2 1 7,D,bd28d3a9-b287-4b9c-9d08-118da13376f3,Duinker
